;Durchschnittliche Aufenthaltsdauer (Tage);
;;
schluessel;regionaleinheit;wert
01;Schleswig-Holstein;4.8
02;Hamburg;2.2
03;Niedersachsen;3.4
04;Bremen;2.1
05;Nordrhein-Westfalen;2.6
06;Hessen;2.7
07;Rheinland-Pfalz;2.8
08;Baden-Württemberg;2.9
09;Bayern;3
10;Saarland;3.2
11;Berlin;2.5
12;Brandenburg;3.1
13;Mecklenburg-Vorpommern;4.6
14;Sachsen;2.8
15;Sachsen-Anhalt;2.7
16;Thüringen;2.9
