"MONATSZAHL","AUSPRÄGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERÄND_VORMONAT_PROZENT","VERÄND_VORJAHRESMONAT_PROZENT","ZWÖLF_MONATE_MITTELWERT"
"Übernachtungen","insgesamt",2013,"201301",824297,758415,-17.64,8.69,1036521
"Übernachtungen","insgesamt",2013,"201302",821844,730316,-0.3,12.53,1044149
"Übernachtungen","insgesamt",2013,"201303",968450,903927,17.84,7.14,1049525
"Übernachtungen","insgesamt",2013,"201304",1060153,967026,9.47,9.63,1057286
"Übernachtungen","insgesamt",2013,"201305",1116021,1070620,5.27,4.24,1061069
"Übernachtungen","insgesamt",2013,"201306",1130945,1083184,1.34,4.41,1065050
"Übernachtungen","insgesamt",2013,"201307",1251382,1281071,10.65,-2.32,1062575
"Übernachtungen","insgesamt",2013,"201308",1288313,1161236,2.95,10.94,1073165
"Übernachtungen","insgesamt",2013,"201309",1239876,1249108,-3.76,-0.74,1072396
"Übernachtungen","insgesamt",2013,"201310",1243281,1210957,0.27,2.67,1075090
"Übernachtungen","insgesamt",2013,"201311",961516,955625,-22.66,0.62,1075580
"Übernachtungen","insgesamt",2013,"201312",1000239,1000887,4.03,-0.06,1075526
"Übernachtungen","insgesamt",2012,"Summe",12372372,11744039,,5.35,
"Übernachtungen","insgesamt",2012,"201201",758415,737915,-18.55,2.78,980378
"Übernachtungen","insgesamt",2012,"201202",730316,744488,-3.7,-1.9,979197
"Übernachtungen","insgesamt",2012,"201203",903927,813385,23.77,11.13,986742
"Übernachtungen","insgesamt",2012,"201204",967026,903980,6.98,6.97,991996
"Übernachtungen","insgesamt",2012,"201205",1070620,995343,10.71,7.56,998269
"Übernachtungen","insgesamt",2012,"201206",1083184,1025704,1.17,5.6,1003059
"Übernachtungen","insgesamt",2012,"201207",1281071,1277859,18.27,0.25,1003327
"Übernachtungen","insgesamt",2012,"201208",1161236,1069126,-9.35,8.62,1011003
"Übernachtungen","insgesamt",2012,"201209",1249108,1202612,7.57,3.87,1014878
"Übernachtungen","insgesamt",2012,"201210",1210957,1140679,-3.05,6.16,1020734
"Übernachtungen","insgesamt",2012,"201211",955625,901845,-21.09,5.96,1025216
"Übernachtungen","insgesamt",2012,"201212",1000887,931103,4.74,7.49,1031031
"Übernachtungen","insgesamt",2011,"Summe",11744039,11156532,,5.27,
"Übernachtungen","insgesamt",2011,"201101",737915,590915,-13.19,24.88,941961
"Übernachtungen","insgesamt",2011,"201102",744488,711957,0.89,4.57,944672
"Übernachtungen","insgesamt",2011,"201103",813385,822211,9.25,-1.07,943936
"Übernachtungen","insgesamt",2011,"201104",903980,883731,11.14,2.29,945624
"Übernachtungen","insgesamt",2011,"201105",995343,958175,10.11,3.88,948721
"Übernachtungen","insgesamt",2011,"201106",1025704,966797,3.05,6.09,953630
"Übernachtungen","insgesamt",2011,"201107",1277859,1217736,24.58,4.94,958640
"Übernachtungen","insgesamt",2011,"201108",1069126,1060762,-16.33,0.79,959337
"Übernachtungen","insgesamt",2011,"201109",1202612,1185414,12.49,1.45,960771
"Übernachtungen","insgesamt",2011,"201110",1140679,1080161,-5.15,5.6,965814
"Übernachtungen","insgesamt",2011,"201111",901845,828617,-20.94,8.84,971916
"Übernachtungen","insgesamt",2011,"201112",931103,850056,3.24,9.53,978670
"Übernachtungen","insgesamt",2010,"Summe",11156532,9922003,,12.44,
"Übernachtungen","insgesamt",2010,"201001",590915,623674,-26.48,-5.25,824104
"Übernachtungen","insgesamt",2010,"201002",711957,604183,20.48,17.84,833085
"Übernachtungen","insgesamt",2010,"201003",822211,709359,15.49,15.91,842489
"Übernachtungen","insgesamt",2010,"201004",883731,741534,7.48,19.18,854339
"Übernachtungen","insgesamt",2010,"201005",958175,911721,8.42,5.1,858210
"Übernachtungen","insgesamt",2010,"201006",966797,788426,0.9,22.62,873074
"Übernachtungen","insgesamt",2010,"201007",1217736,1057839,25.96,15.12,886399
"Übernachtungen","insgesamt",2010,"201008",1060762,932327,-12.89,13.78,897102
"Übernachtungen","insgesamt",2010,"201009",1185414,1009452,11.75,17.43,911766
"Übernachtungen","insgesamt",2010,"201010",1080161,995325,-8.88,8.52,918835
"Übernachtungen","insgesamt",2010,"201011",828617,744388,-23.29,11.32,925854
"Übernachtungen","insgesamt",2010,"201012",850056,803775,2.59,5.76,929711
"Übernachtungen","insgesamt",2009,"Summe",9922003,9844671,,0.79,
"Übernachtungen","insgesamt",2009,"200901",623674,605830,-15.41,2.95,821876
"Übernachtungen","insgesamt",2009,"200902",604183,621442,-3.13,-2.78,820438
"Übernachtungen","insgesamt",2009,"200903",709359,703508,17.41,0.83,820926
"Übernachtungen","insgesamt",2009,"200904",741534,787729,4.54,-5.86,817076
"Übernachtungen","insgesamt",2009,"200905",911721,874507,22.95,4.26,820177
"Übernachtungen","insgesamt",2009,"200906",788426,858102,-13.52,-8.12,814371
"Übernachtungen","insgesamt",2009,"200907",1057839,1010561,34.17,4.68,818311
"Übernachtungen","insgesamt",2009,"200908",932327,971533,-11.86,-4.04,815044
"Übernachtungen","insgesamt",2009,"200909",1009452,990289,8.27,1.94,816640
"Übernachtungen","insgesamt",2009,"200910",995325,967107,-1.4,2.92,818992
"Übernachtungen","insgesamt",2009,"200911",744388,716765,-25.21,3.85,821294
"Übernachtungen","insgesamt",2009,"200912",803775,737298,7.98,9.02,826834
"Übernachtungen","insgesamt",2008,"Summe",9844671,9529205,,3.31,
"Übernachtungen","insgesamt",2008,"200801",605830,574818,-19.48,5.4,796685
"Übernachtungen","insgesamt",2008,"200802",621442,590314,2.58,5.27,799279
"Übernachtungen","insgesamt",2008,"200803",703508,726153,13.21,-3.12,797392
"Übernachtungen","insgesamt",2008,"200804",787729,786769,11.97,0.12,797472
"Übernachtungen","insgesamt",2008,"200805",874507,777437,11.02,12.49,805561
"Übernachtungen","insgesamt",2008,"200806",858102,799619,-1.88,7.31,810434
"Übernachtungen","insgesamt",2008,"200807",1010561,941520,17.77,7.33,816188
"Übernachtungen","insgesamt",2008,"200808",971533,970926,-3.86,0.06,816238
"Übernachtungen","insgesamt",2008,"200809",990289,958374,1.93,3.33,818898
"Übernachtungen","insgesamt",2008,"200810",967107,918632,-2.34,5.28,822938
"Übernachtungen","insgesamt",2008,"200811",716765,732280,-25.89,-2.12,821645
"Übernachtungen","insgesamt",2008,"200812",737298,752363,2.86,-2,820389
"Übernachtungen","insgesamt",2007,"Summe",9529205,8878216,,7.33,
"Übernachtungen","insgesamt",2007,"200701",574818,527607,-19,8.95,743786
"Übernachtungen","insgesamt",2007,"200702",590314,513391,2.7,14.98,750196
"Übernachtungen","insgesamt",2007,"200703",726153,661645,23.01,9.75,755572
"Übernachtungen","insgesamt",2007,"200704",786769,675391,8.35,16.49,764853
"Übernachtungen","insgesamt",2007,"200705",777437,814087,-1.19,-4.5,761799
"Übernachtungen","insgesamt",2007,"200706",799619,728646,2.85,9.74,767713
"Übernachtungen","insgesamt",2007,"200707",941520,912927,17.75,3.13,770096
"Übernachtungen","insgesamt",2007,"200708",970926,872431,3.12,11.29,778304
"Übernachtungen","insgesamt",2007,"200709",958374,935260,-1.29,2.47,780230
"Übernachtungen","insgesamt",2007,"200710",918632,861666,-4.15,6.61,784977
"Übernachtungen","insgesamt",2007,"200711",732280,665483,-20.29,10.04,790544
"Übernachtungen","insgesamt",2007,"200712",752363,709682,2.74,6.01,794100
"Übernachtungen","insgesamt",2006,"Summe",8878216,8478290,,4.72,
"Übernachtungen","insgesamt",2006,"200601",527607,501937,-17.31,5.11,527607
"Übernachtungen","insgesamt",2006,"200602",513391,521421,-2.69,-1.54,520499
"Übernachtungen","insgesamt",2006,"200603",661645,578784,28.88,14.32,567548
"Übernachtungen","insgesamt",2006,"200604",675391,669773,2.08,0.84,594509
"Übernachtungen","insgesamt",2006,"200605",814087,679570,20.54,19.79,638424
"Übernachtungen","insgesamt",2006,"200606",728646,775173,-10.5,-6,653461
"Übernachtungen","insgesamt",2006,"200607",912927,872231,25.29,4.67,690528
"Übernachtungen","insgesamt",2006,"200608",872431,909671,-4.44,-4.09,713266
"Übernachtungen","insgesamt",2006,"200609",935260,892378,7.2,4.81,737932
"Übernachtungen","insgesamt",2006,"200610",861666,815460,-7.87,5.67,750305
"Übernachtungen","insgesamt",2006,"200611",665483,623802,-22.77,6.68,742594
"Übernachtungen","insgesamt",2006,"200612",709682,638090,6.64,11.22,739851
