Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,Code,Label,2_Merkmal_Code,2_Merkmal_Label,Code_Monat,Monat,Ankuenfte,Uebernachtungen
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,12,Brandenburg,MONAT,Monate,08,August,633390,1748848
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,12,Brandenburg,MONAT,Monate,09,September,520442,1316576
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,12,Brandenburg,MONAT,Monate,10,October,446241,1218023
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,12,Brandenburg,MONAT,Monate,11,November,334402,827675
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,12,Brandenburg,MONAT,Monate,12,December,268739,711376
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,01,January,88827,159917
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,02,February,93703,175926
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,03,March,115172,217693
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,04,April,118222,227445
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,05,May,138482,256203
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,06,June,134126,249266
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,07,July,140338,259987
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,08,August,150876,277891
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,09,September,138412,259375
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,10,October,136397,260500
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,11,November,133041,242090
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,04,Bremen,MONAT,Monate,12,December,123109,229338
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,01,January,440899,845707
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,02,February,489237,926907
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,03,March,608832,1209249
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,04,April,655723,1361223
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,05,May,698660,1396422
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,06,June,672693,1429918
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,07,July,723514,1490543
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,08,August,753434,1563959
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,09,September,665588,1359152
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,10,October,687064,1440795
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,11,November,637073,1234146
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,02,Hamburg,MONAT,Monate,12,December,586516,1169385
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,01,January,1024940,2362883
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,02,February,1089308,2444294
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,03,March,1253469,2776248
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,04,April,1228390,2786305
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,05,May,1502044,3242106
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,06,June,1525025,3339039
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,07,July,1472343,3393306
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,08,August,1481371,3401187
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,09,September,1519989,3311893
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,10,October,1440454,3247390
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,11,November,1331835,2905188
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,06,Hessen,MONAT,Monate,12,December,1085362,2403835
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,01,January,278830,1029024
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,02,February,356240,1237140
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,03,March,475285,1590590
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,04,April,685147,2557608
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,05,May,799602,2903576
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,06,June,1049763,4235140
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,07,July,1221161,6155301
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,08,August,1136264,5421036
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,09,September,817872,3348623
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,10,October,735628,2893138
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,11,November,400879,1356723
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,MONAT,Monate,12,December,406308,1389223
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,01,January,754544,2049812
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,02,February,832712,2200836
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,03,March,1043266,2818043
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,04,April,1280673,4031270
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,05,May,1551025,4437554
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,06,June,1671476,4995324
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,07,July,1679464,5874739
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,08,August,1733014,5844011
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,09,September,1556153,4642785
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,03,Niedersachsen,MONAT,Monate,10,October,1376758,4266966
