schluessel,label,wert
01,Schleswig-Holstein,8.3
02,Hamburg,3.7
03,Niedersachsen,3.8
04,Bremen,2.2
05,Nordrhein-Westfalen,1.6
06,Hessen,2.9
07,Rheinland-Pfalz,3.1
08,Baden-Württemberg,3.1
09,Bayern,4.6
10,Saarland,2.1
11,Berlin,3.3
12,Brandenburg,4
13,Mecklenburg-Vorpommern,17.3
14,Sachsen,3.3
15,Sachsen-Anhalt,2.7
16,Thüringen,2.9
